date,max_temp,mean_temp,min_temp,max_dew,mean_dew,min_dew,max_humidity,mean_humidity,min_humidity,max_pressure,mean_pressure,min_pressure,max_visibilty,mean_visibility,min_visibility,max_wind,mean_wind,min_wind,precipitation,cloud_cover,events,wind_dir,avg_temp,rain
2012-03-10,56,40,24,24,20,16,74,50,26,30.53,30.45,30.34,10,10,10,13,6,17.0,0.00,0,Unknown,138,40.0,False
2012-03-11,67,49,30,43,31,24,78,53,28,30.37,30.27,30.13,10,10,10,22,7,32.0,T,1,Rain,163,48.5,True
2012-03-12,71,62,53,59,55,43,90,76,61,30.13,29.99,29.88,10,10,6,24,14,36.0,0.03,6,Rain,190,62.0,True
2012-03-13,76,63,50,57,53,47,93,66,38,30.12,30.06,29.97,10,10,4,16,5,24.0,0.00,0,Unknown,242,63.0,False
2012-03-14,80,62,44,58,52,43,93,68,42,30.15,30.1,30.04,10,10,10,16,6,22.0,0.00,0,Unknown,202,62.0,False
2012-03-15,79,69,58,61,58,53,90,69,48,30.13,30.08,30.02,10,10,10,31,10,41.0,0.04,3,Rain-Thunderstorm,209,68.5,True
2012-03-16,75,64,52,57,54,51,100,75,49,30.14,30.1,30.07,10,10,10,14,5,20.0,T,2,Unknown,169,63.5,False
2012-03-17,78,62,46,60,54,46,100,78,56,30.15,30.11,30.04,10,5,0,12,5,17.0,T,3,Fog-Thunderstorm,162,62.0,False
2012-03-18,80,70,59,61,58,57,93,69,45,30.14,30.07,30.02,10,10,9,18,8,25.0,T,2,Rain,197,69.5,True
2012-03-19,84,72,59,58,56,50,90,66,42,30.09,30.03,29.98,10,10,10,17,6,23.0,0.00,1,Unknown,165,71.5,False
2012-03-20,84,71,58,56,54,50,78,58,37,30.09,30.04,29.99,10,10,10,17,5,24.0,0.00,0,Unknown,154,71.0,False
2012-03-21,84,71,57,56,54,52,84,58,32,30.14,30.07,30.02,10,10,10,17,6,23.0,0.00,1,Unknown,152,70.5,False
2012-03-22,81,69,57,63,57,51,87,65,42,30.11,30.07,30.01,10,10,2,31,4,41.0,0.14,3,Rain,159,69.0,True
2012-03-23,73,64,55,61,58,54,97,79,61,30.03,29.9,29.76,10,9,2,21,6,24.0,0.86,7,Rain-Thunderstorm,129,64.0,True
2012-03-24,65,56,46,54,49,43,100,80,48,29.88,29.83,29.79,10,8,0,12,5,14.0,0.06,5,Fog-Rain,222,55.5,True
2012-03-25,69,61,52,55,53,51,100,82,63,30.05,29.96,29.88,10,8,4,14,5,20.0,0.00,6,Unknown,353,60.5,False
2012-03-26,63,54,44,52,38,30,96,64,32,30.26,30.18,30.05,10,10,9,17,9,22.0,0.00,2,Unknown,48,53.5,False
2012-03-27,70,54,38,42,32,25,64,46,27,30.26,30.15,29.98,10,10,10,15,8,20.0,0.00,0,Unknown,140,54.0,False
2012-03-28,77,64,51,56,46,33,73,47,21,29.97,29.93,29.9,10,10,10,20,9,25.0,T,2,Thunderstorm,269,64.0,False
2012-03-29,69,58,46,45,39,35,76,55,34,30.08,30.0,29.94,10,10,10,14,6,17.0,T,2,Rain,84,57.5,True
2012-03-30,81,66,51,61,50,42,78,59,39,29.93,29.79,29.66,10,10,10,25,11,37.0,0.01,4,Rain-Thunderstorm,182,66.0,True
2012-03-31,66,58,49,54,47,44,93,71,48,29.91,29.87,29.8,10,8,4,13,6,16.0,0.00,4,Unknown,28,57.5,False
2012-04-01,79,64,48,62,52,44,96,75,54,29.89,29.78,29.65,10,6,1,24,7,31.0,0.51,4,Rain-Thunderstorm,169,63.5,True
2012-04-02,68,62,55,60,51,45,97,73,48,29.9,29.81,29.66,10,9,5,16,9,21.0,0.01,3,Unknown,109,61.5,False
2012-04-03,84,69,53,60,51,41,66,53,40,29.92,29.85,29.78,10,10,10,14,6,18.0,0.00,0,Unknown,188,68.5,False
2012-04-04,68,62,55,59,54,42,90,74,57,29.82,29.79,29.76,10,8,3,15,7,18.0,0.01,6,Rain-Thunderstorm,42,61.5,True
